No,Known/Unknown,compound label
1,Known,Cer..d32.1...M.HCOO..
2,Known,Cer..d34.0...M.HCOO..
3,Known,Cer..d34.1...M.HCOO...
4,Known,Cer..d34.2...M.HCOO..
5,Known,Cer..d36.1...M.HCOO..
6,Known,Cer..d38.1...M.HCOO..
7,Known,Cer..d39.1...M.HCOO..
8,Known,Cer..d40.1...M.HCOO..
9,Known,Cer..d40.2...M.HCOO..
10,Known,Cer..d41.1...M.HCOO..
11,Known,Cer..d42.1...M.HCOO..
12,Known,Cer..d42.2..A..M.HCOO...
13,Known,Cer..d42.2..B..M.HCOO..
14,Known,Cer..d43.1...M.HCOO..
15,Known,Cer..d44.1...M.HCOO..
16,Known,FA..16.0...M.H..
17,Known,FA..16.1...M.H..
18,Known,FA..18.0...M.H..
19,Known,FA..18.1...M.H..
20,Known,FA..18.2...M.H..
21,Known,FA..20.4...M.H..
22,Known,FA..22.4...M.H..
23,Known,GlcCer..d34.1...M.HCOO..
24,Known,GlcCer..d38.1...M.HCOO..
25,Known,GlcCer..d40.1...M.HCOO...
26,Known,GlcCer..d41.1...M.HCOO..
27,Known,GlcCer..d42.1...M.HCOO...
28,Known,GlcCer..d42.2...M.HCOO..
29,Unknown,CSH_negESI..014
30,Unknown,CSH_negESI..017
31,Unknown,CSH_negESI..021
32,Unknown,CSH_negESI..024
33,Unknown,CSH_negESI..046
34,Unknown,CSH_negESI..056
35,Unknown,CSH_negESI..071
36,Unknown,CSH_negESI..074
37,Unknown,CSH_negESI..078
38,Unknown,CSH_negESI..278
39,Unknown,CSH_negESI..290
40,Unknown,CSH_negESI..293
